feature,estimateparameter,estimate,activity,subjectid,mean(value)
tBodyAcc,X,mean(),SITTING,8,0.267491472934783
tBodyAcc,X,mean(),SITTING,9,0.24832674354
tBodyAcc,X,mean(),SITTING,10,0.270612056481482
tBodyAcc,X,mean(),SITTING,11,0.276590197358491
tBodyAcc,X,mean(),SITTING,12,0.275007224901961
tBodyAcc,X,mean(),SITTING,13,0.274328499591837
tBodyAcc,X,mean(),SITTING,14,0.279990577037037
tBodyAcc,X,mean(),SITTING,15,0.27290337979661
tBodyAcc,X,mean(),SITTING,16,0.280768574492754
tBodyAcc,X,mean(),SITTING,17,0.2773570196875
tBodyAcc,X,mean(),SITTING,18,0.27727001877193
tBodyAcc,X,mean(),SITTING,19,0.273830316164384
tBodyAcc,X,mean(),SITTING,20,0.278045439090909
tBodyAcc,X,mean(),SITTING,21,0.277539616823529
tBodyAcc,X,mean(),SITTING,22,0.273583822709677
tBodyAcc,X,mean(),SITTING,23,0.273351251617647
tBodyAcc,X,mean(),SITTING,24,0.273475690147059
tBodyAcc,X,mean(),SITTING,25,0.278541482461538
tBodyAcc,X,mean(),SITTING,26,0.258243530166667
tBodyAcc,X,mean(),SITTING,27,0.273941302571429
tBodyAcc,X,mean(),SITTING,28,0.276977629444444
tBodyAcc,X,mean(),SITTING,29,0.2771799775
tBodyAcc,X,mean(),SITTING,30,0.268336081379032
tBodyAcc,X,mean(),STANDING,1,0.278917629056604
tBodyAcc,X,mean(),STANDING,2,0.277911472222222
tBodyAcc,X,mean(),STANDING,3,0.280046513278689
tBodyAcc,X,mean(),STANDING,4,0.280499745892857
tBodyAcc,X,mean(),STANDING,5,0.282544390892857
tBodyAcc,X,mean(),STANDING,6,0.280346248596491
tBodyAcc,X,mean(),STANDING,7,0.282723539433962
tBodyAcc,X,mean(),STANDING,8,0.279620986111111
tBodyAcc,X,mean(),STANDING,9,0.282310057333333
tBodyAcc,X,mean(),STANDING,10,0.276650300681818
tBodyAcc,X,mean(),STANDING,11,0.277715562765957
tBodyAcc,X,mean(),STANDING,12,0.277405834918033
tBodyAcc,X,mean(),STANDING,13,0.277758431052632
tBodyAcc,X,mean(),STANDING,14,0.280545613833333
tBodyAcc,X,mean(),STANDING,15,0.278915803962264
tBodyAcc,X,mean(),STANDING,16,0.283497402948718
tBodyAcc,X,mean(),STANDING,17,0.277942503333333
tBodyAcc,X,mean(),STANDING,18,0.278458805890411
tBodyAcc,X,mean(),STANDING,19,0.27817226
tBodyAcc,X,mean(),STANDING,20,0.278076904657534
tBodyAcc,X,mean(),STANDING,21,0.27695224258427
tBodyAcc,X,mean(),STANDING,22,0.279053861587302
tBodyAcc,X,mean(),STANDING,23,0.277899323235294
tBodyAcc,X,mean(),STANDING,24,0.280348883913043
tBodyAcc,X,mean(),STANDING,25,0.278013701621622
tBodyAcc,X,mean(),STANDING,26,0.281127035405405
tBodyAcc,X,mean(),STANDING,27,0.279566921625
tBodyAcc,X,mean(),STANDING,28,0.277795069113924
tBodyAcc,X,mean(),STANDING,29,0.277965065846154
tBodyAcc,X,mean(),STANDING,30,0.277112699152542
tBodyAcc,X,mean(),WALKING,1,0.277330758736842
tBodyAcc,X,mean(),WALKING,2,0.276426586440678
tBodyAcc,X,mean(),WALKING,3,0.275567462068966
tBodyAcc,X,mean(),WALKING,4,0.278582015166667
tBodyAcc,X,mean(),WALKING,5,0.27784234625
tBodyAcc,X,mean(),WALKING,6,0.283658868070175
tBodyAcc,X,mean(),WALKING,7,0.275592961754386
tBodyAcc,X,mean(),WALKING,8,0.27468631
tBodyAcc,X,mean(),WALKING,9,0.278502842115385
tBodyAcc,X,mean(),WALKING,10,0.278574076603774
tBodyAcc,X,mean(),WALKING,11,0.271821892881356
tBodyAcc,X,mean(),WALKING,12,0.2771286656
tBodyAcc,X,mean(),WALKING,13,0.275883130350877
tBodyAcc,X,mean(),WALKING,14,0.271959598644068
tBodyAcc,X,mean(),WALKING,15,0.273899207962963
tBodyAcc,X,mean(),WALKING,16,0.276023564509804
tBodyAcc,X,mean(),WALKING,17,0.272341855245902
tBodyAcc,X,mean(),WALKING,18,0.273887758571429
tBodyAcc,X,mean(),WALKING,19,0.273931172307692
tBodyAcc,X,mean(),WALKING,20,0.272589336470588
tBodyAcc,X,mean(),WALKING,21,0.279183526730769
tBodyAcc,X,mean(),WALKING,22,0.27886459
tBodyAcc,X,mean(),WALKING,23,0.273211884237288
tBodyAcc,X,mean(),WALKING,24,0.276980816034483
tBodyAcc,X,mean(),WALKING,25,0.278992759054054
tBodyAcc,X,mean(),WALKING,26,0.279264443728814
tBodyAcc,X,mean(),WALKING,27,0.276849485438597
tBodyAcc,X,mean(),WALKING,28,0.281228223888889
tBodyAcc,X,mean(),WALKING,29,0.271999916792453
tBodyAcc,X,mean(),WALKING,30,0.276406758
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,1,0.289188320408163
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,2,0.27761534806383
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,3,0.292423484693878
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,4,0.279965329555556
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,5,0.29354392712766
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,6,0.277045258145833
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,7,0.28030708
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,8,0.283484089210526
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,9,0.295923445
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,10,0.29040159431579
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,11,0.291605631956522
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,12,0.281521097391304
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,13,0.294907553404255
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,14,0.293422115555556
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,15,0.280198851190476
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,16,0.295586802191489
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,17,0.29391828326087
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,18,0.288439468909091
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,19,0.262688053871795
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,20,0.296144421355556
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,21,0.3014610196
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,22,0.284458963861111
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,23,0.289897411148148
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,24,0.288631208909091
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,25,0.291329666206897
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,26,0.2792845828
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,27,0.2975441875
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,28,0.293642076521739
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,29,0.293140441083333
tBodyAcc,X,mean(),WALKING_DOWNSTAIRS,30,0.283190646967742
tBodyAcc,X,mean(),WALKING_UPSTAIRS,1,0.255461689622642
tBodyAcc,X,mean(),WALKING_UPSTAIRS,2,0.247164790395833
tBodyAcc,X,mean(),WALKING_UPSTAIRS,3,0.260819873067797
tBodyAcc,X,mean(),WALKING_UPSTAIRS,4,0.270876696730769
tBodyAcc,X,mean(),WALKING_UPSTAIRS,5,0.268459469914894
tBodyAcc,X,mean(),WALKING_UPSTAIRS,6,0.268229355098039
tBodyAcc,X,mean(),WALKING_UPSTAIRS,7,0.248706923078431
tBodyAcc,X,mean(),WALKING_UPSTAIRS,8,0.258880152048781
tBodyAcc,X,mean(),WALKING_UPSTAIRS,9,0.262436475714286
tBodyAcc,X,mean(),WALKING_UPSTAIRS,10,0.267121853404255
tBodyAcc,X,mean(),WALKING_UPSTAIRS,11,0.263775859277778
tBodyAcc,X,mean(),WALKING_UPSTAIRS,12,0.272970338653846
tBodyAcc,X,mean(),WALKING_UPSTAIRS,13,0.258203939581818
tBodyAcc,X,mean(),WALKING_UPSTAIRS,14,0.26242106612963
tBodyAcc,X,mean(),WALKING_UPSTAIRS,15,0.270187595833333
tBodyAcc,X,mean(),WALKING_UPSTAIRS,16,0.255986102627451
tBodyAcc,X,mean(),WALKING_UPSTAIRS,17,0.252604768583333
tBodyAcc,X,mean(),WALKING_UPSTAIRS,18,0.265401201896552
tBodyAcc,X,mean(),WALKING_UPSTAIRS,19,0.242118808925
tBodyAcc,X,mean(),WALKING_UPSTAIRS,20,0.252098317156863
tBodyAcc,X,mean(),WALKING_UPSTAIRS,21,0.265194544680851
tBodyAcc,X,mean(),WALKING_UPSTAIRS,22,0.248391534566667
tBodyAcc,X,mean(),WALKING_UPSTAIRS,23,0.249995171031373
tBodyAcc,X,mean(),WALKING_UPSTAIRS,24,0.269881106779661
tBodyAcc,X,mean(),WALKING_UPSTAIRS,25,0.277995411384615
tBodyAcc,X,mean(),WALKING_UPSTAIRS,26,0.272691394545455
tBodyAcc,X,mean(),WALKING_UPSTAIRS,27,0.265770253921569
tBodyAcc,X,mean(),WALKING_UPSTAIRS,28,0.262005841764706
tBodyAcc,X,mean(),WALKING_UPSTAIRS,29,0.265423066877551
tBodyAcc,X,mean(),WALKING_UPSTAIRS,30,0.271415642261538
tBodyAcc,X,std(),LAYING,1,-0.9280564692
tBodyAcc,X,std(),LAYING,2,-0.974059464791667
tBodyAcc,X,std(),LAYING,3,-0.982776639193548
tBodyAcc,X,std(),LAYING,4,-0.954193738888889
tBodyAcc,X,std(),LAYING,5,-0.965934509615385
tBodyAcc,X,std(),LAYING,6,-0.934049422052632
tBodyAcc,X,std(),LAYING,7,-0.93651361
tBodyAcc,X,std(),LAYING,8,-0.94304121537037
tBodyAcc,X,std(),LAYING,9,-0.94233309
tBodyAcc,X,std(),LAYING,10,-0.968283685
tBodyAcc,X,std(),LAYING,11,-0.98477733
tBodyAcc,X,std(),LAYING,12,-0.95531868
tBodyAcc,X,std(),LAYING,13,-0.968891989354839
tBodyAcc,X,std(),LAYING,14,-0.917501887333333
tBodyAcc,X,std(),LAYING,15,-0.972255551527778
tBodyAcc,X,std(),LAYING,16,-0.973691429428571
tBodyAcc,X,std(),LAYING,17,-0.972960567323944
tBodyAcc,X,std(),LAYING,18,-0.984527649230769
tBodyAcc,X,std(),LAYING,19,-0.965019579518072
tBodyAcc,X,std(),LAYING,20,-0.962249114705882
tBodyAcc,X,std(),LAYING,21,-0.955019866222222
tBodyAcc,X,std(),LAYING,22,-0.947735251944444
tBodyAcc,X,std(),LAYING,23,-0.956756363194445
tBodyAcc,X,std(),LAYING,24,-0.967984021111111
tBodyAcc,X,std(),LAYING,25,-0.909116474109589
tBodyAcc,X,std(),LAYING,26,-0.969445445263158
tBodyAcc,X,std(),LAYING,27,-0.978455153108108
tBodyAcc,X,std(),LAYING,28,-0.9688882955
tBodyAcc,X,std(),LAYING,29,-0.984219555507246
tBodyAcc,X,std(),LAYING,30,-0.976362515428571
tBodyAcc,X,std(),SITTING,1,-0.977229008297872
tBodyAcc,X,std(),SITTING,2,-0.986822279565217
tBodyAcc,X,std(),SITTING,3,-0.971010120961538
tBodyAcc,X,std(),SITTING,4,-0.980309931
tBodyAcc,X,std(),SITTING,5,-0.980945022045455
tBodyAcc,X,std(),SITTING,6,-0.980164933636364
tBodyAcc,X,std(),SITTING,7,-0.972668374583333
tBodyAcc,X,std(),SITTING,8,-0.979026152391304
tBodyAcc,X,std(),SITTING,9,-0.9572277914
tBodyAcc,X,std(),SITTING,10,-0.982901825925926
tBodyAcc,X,std(),SITTING,11,-0.982796562075472
tBodyAcc,X,std(),SITTING,12,-0.982568781960784
tBodyAcc,X,std(),SITTING,13,-0.989546275306122
tBodyAcc,X,std(),SITTING,14,-0.976302248148148
tBodyAcc,X,std(),SITTING,15,-0.987084356101695
tBodyAcc,X,std(),SITTING,16,-0.986825605362319
tBodyAcc,X,std(),SITTING,17,-0.9944439053125
tBodyAcc,X,std(),SITTING,18,-0.994347988596491
tBodyAcc,X,std(),SITTING,19,-0.976357663013699
tBodyAcc,X,std(),SITTING,20,-0.983081858939394
tBodyAcc,X,std(),SITTING,21,-0.991777287176471
tBodyAcc,X,std(),SITTING,22,-0.978466823709677
tBodyAcc,X,std(),SITTING,23,-0.987607636617647
tBodyAcc,X,std(),SITTING,24,-0.990593766617647
tBodyAcc,X,std(),SITTING,25,-0.991892828615385
tBodyAcc,X,std(),SITTING,26,-0.979768987948718
tBodyAcc,X,std(),SITTING,27,-0.988580107714286
tBodyAcc,X,std(),SITTING,28,-0.983272806805556
tBodyAcc,X,std(),SITTING,29,-0.9907450195
tBodyAcc,X,std(),SITTING,30,-0.983622744193548
tBodyAcc,X,std(),STANDING,1,-0.995759901509434
tBodyAcc,X,std(),STANDING,2,-0.987271889259259
tBodyAcc,X,std(),STANDING,3,-0.96674254295082
tBodyAcc,X,std(),STANDING,4,-0.97692058
tBodyAcc,X,std(),STANDING,5,-0.968591815714286
tBodyAcc,X,std(),STANDING,6,-0.981758159649123
tBodyAcc,X,std(),STANDING,7,-0.979307570377359
tBodyAcc,X,std(),STANDING,8,-0.988815418148148
tBodyAcc,X,std(),STANDING,9,-0.975741252444444
tBodyAcc,X,std(),STANDING,10,-0.978403481818182
tBodyAcc,X,std(),STANDING,11,-0.994978878723404
tBodyAcc,X,std(),STANDING,12,-0.981243992459016
tBodyAcc,X,std(),STANDING,13,-0.991020759298246
tBodyAcc,X,std(),STANDING,14,-0.973268905
tBodyAcc,X,std(),STANDING,15,-0.988949247358491
tBodyAcc,X,std(),STANDING,16,-0.989076811794872
tBodyAcc,X,std(),STANDING,17,-0.991163919871795
tBodyAcc,X,std(),STANDING,18,-0.992019762739726
tBodyAcc,X,std(),STANDING,19,-0.989910996849315
tBodyAcc,X,std(),STANDING,20,-0.967209961232877
tBodyAcc,X,std(),STANDING,21,-0.981419961123595
tBodyAcc,X,std(),STANDING,22,-0.985000527142857
tBodyAcc,X,std(),STANDING,23,-0.985421519558824
tBodyAcc,X,std(),STANDING,24,-0.98725587115942
tBodyAcc,X,std(),STANDING,25,-0.991970126756757
tBodyAcc,X,std(),STANDING,26,-0.993069368783784
tBodyAcc,X,std(),STANDING,27,-0.9919515835
tBodyAcc,X,std(),STANDING,28,-0.977748638607595
tBodyAcc,X,std(),STANDING,29,-0.996068635384615
tBodyAcc,X,std(),STANDING,30,-0.977559426949153
tBodyAcc,X,std(),WALKING,1,-0.283740258842105
tBodyAcc,X,std(),WALKING,2,-0.423642838474576
tBodyAcc,X,std(),WALKING,3,-0.360356726034483
tBodyAcc,X,std(),WALKING,4,-0.440829971333333
tBodyAcc,X,std(),WALKING,5,-0.294098534232143
tBodyAcc,X,std(),WALKING,6,-0.296538717368421
tBodyAcc,X,std(),WALKING,7,-0.327243240701754
tBodyAcc,X,std(),WALKING,8,-0.173605736002083
tBodyAcc,X,std(),WALKING,9,-0.238353562692308
tBodyAcc,X,std(),WALKING,10,-0.178709734396226
tBodyAcc,X,std(),WALKING,11,-0.422842071864407
tBodyAcc,X,std(),WALKING,12,-0.128898533096
tBodyAcc,X,std(),WALKING,13,-0.346980394210526
tBodyAcc,X,std(),WALKING,14,-0.402639098135593
tBodyAcc,X,std(),WALKING,15,-0.327961801111111
tBodyAcc,X,std(),WALKING,16,-0.404692523921569
tBodyAcc,X,std(),WALKING,17,-0.31950017295082
tBodyAcc,X,std(),WALKING,18,-0.37600552125
tBodyAcc,X,std(),WALKING,19,-0.0489049407963462
tBodyAcc,X,std(),WALKING,20,-0.208342792019608
tBodyAcc,X,std(),WALKING,21,-0.297814843538462
tBodyAcc,X,std(),WALKING,22,-0.00865921919565217
tBodyAcc,X,std(),WALKING,23,-0.313521773389831
tBodyAcc,X,std(),WALKING,24,-0.47076236637931
tBodyAcc,X,std(),WALKING,25,-0.596007443513514
tBodyAcc,X,std(),WALKING,26,-0.340185527559322
tBodyAcc,X,std(),WALKING,27,-0.348475560526316
tBodyAcc,X,std(),WALKING,28,-0.293003522222222
tBodyAcc,X,std(),WALKING,29,-0.174337940226415
tBodyAcc,X,std(),WALKING,30,-0.346394275230769
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,1,0.0300353383483878
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,2,0.0463666814446809
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,3,-0.0574100475102041
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,4,0.0111935496222222
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,5,0.275046110468085
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,6,0.383681639791667
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,7,0.0660815600978723
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,8,0.0241393473736842
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,9,0.213392270547619
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,10,0.295733547631579
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,11,0.142456557034783
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,12,0.0424084916086956
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,13,-0.0681563626617021
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,14,0.0178313402266667
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,15,0.406471051190476
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,16,0.207251997929787
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,17,0.187719760269565
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,18,-0.302634565090909
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,19,0.626917070512821
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,20,0.0745098785288889
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,21,0.224343492244444
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,22,0.348618168333333
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,23,0.0441392843425926
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,24,-0.08273248054
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,25,-0.253756934258621
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,26,0.17395384962
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,27,0.167407531090909
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,28,0.125712887943478
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,29,0.167383602458333
tBodyAcc,X,std(),WALKING_DOWNSTAIRS,30,-0.0577703163548387
tBodyAcc,X,std(),WALKING_UPSTAIRS,1,-0.35470802509434
tBodyAcc,X,std(),WALKING_UPSTAIRS,2,-0.304376406458333
tBodyAcc,X,std(),WALKING_UPSTAIRS,3,-0.313123437627119
tBodyAcc,X,std(),WALKING_UPSTAIRS,4,-0.204933042903846
tBodyAcc,X,std(),WALKING_UPSTAIRS,5,-0.0457237779851064
tBodyAcc,X,std(),WALKING_UPSTAIRS,6,-0.0501350188513726
tBodyAcc,X,std(),WALKING_UPSTAIRS,7,-0.29487297445098
tBodyAcc,X,std(),WALKING_UPSTAIRS,8,-0.171712174634146
tBodyAcc,X,std(),WALKING_UPSTAIRS,9,-0.36144437755102
tBodyAcc,X,std(),WALKING_UPSTAIRS,10,-0.161591924234043
tBodyAcc,X,std(),WALKING_UPSTAIRS,11,-0.238802959018519
tBodyAcc,X,std(),WALKING_UPSTAIRS,12,-0.290149192307692
tBodyAcc,X,std(),WALKING_UPSTAIRS,13,-0.296284597454545
tBodyAcc,X,std(),WALKING_UPSTAIRS,14,-0.309396717592593
tBodyAcc,X,std(),WALKING_UPSTAIRS,15,-0.0260971840270833
tBodyAcc,X,std(),WALKING_UPSTAIRS,16,-0.397083831568628
tBodyAcc,X,std(),WALKING_UPSTAIRS,17,-0.062952754100625
tBodyAcc,X,std(),WALKING_UPSTAIRS,18,-0.380168286724138
tBodyAcc,X,std(),WALKING_UPSTAIRS,19,-0.1287420952375
tBodyAcc,X,std(),WALKING_UPSTAIRS,20,-0.116088676011765
tBodyAcc,X,std(),WALKING_UPSTAIRS,21,-0.240808282276596
tBodyAcc,X,std(),WALKING_UPSTAIRS,22,0.0835738640921429
tBodyAcc,X,std(),WALKING_UPSTAIRS,23,-0.243887818513725
tBodyAcc,X,std(),WALKING_UPSTAIRS,24,-0.344399351355932
tBodyAcc,X,std(),WALKING_UPSTAIRS,25,-0.459775646153846
tBodyAcc,X,std(),WALKING_UPSTAIRS,26,-0.169006952418182
tBodyAcc,X,std(),WALKING_UPSTAIRS,27,-0.295439547254902
tBodyAcc,X,std(),WALKING_UPSTAIRS,28,-0.242062430294118
tBodyAcc,X,std(),WALKING_UPSTAIRS,29,-0.0867715569693877
tBodyAcc,X,std(),WALKING_UPSTAIRS,30,-0.350504475230769
tBodyAcc,Y,mean(),LAYING,1,-0.0405139534294
tBodyAcc,Y,mean(),LAYING,2,-0.0181587397583333
tBodyAcc,Y,mean(),LAYING,3,-0.0189556785048387
tBodyAcc,Y,mean(),LAYING,4,-0.0150031841055556
tBodyAcc,Y,mean(),LAYING,5,-0.0183042123269231
tBodyAcc,Y,mean(),LAYING,6,-0.0102529170561404
tBodyAcc,Y,mean(),LAYING,7,-0.0204411516884615
tBodyAcc,Y,mean(),LAYING,8,-0.0212281733881481
tBodyAcc,Y,mean(),LAYING,9,-0.020526821662
tBodyAcc,Y,mean(),LAYING,10,-0.024294484137931
tBodyAcc,Y,mean(),LAYING,11,-0.0176598052315789
tBodyAcc,Y,mean(),LAYING,12,-0.0175203917146667
tBodyAcc,Y,mean(),LAYING,13,-0.020440454366129
tBodyAcc,Y,mean(),LAYING,14,-0.0113424652490196
tBodyAcc,Y,mean(),LAYING,15,-0.0166296542054167
tBodyAcc,Y,mean(),LAYING,16,-0.0166103510562857
tBodyAcc,Y,mean(),LAYING,17,-0.0168462006729577
tBodyAcc,Y,mean(),LAYING,18,-0.0173937684615385
tBodyAcc,Y,mean(),LAYING,19,-0.0171426864421687
tBodyAcc,Y,mean(),LAYING,20,-0.0144406281132353
tBodyAcc,Y,mean(),LAYING,21,-0.0184233048415556
tBodyAcc,Y,mean(),LAYING,22,-0.0142629864502778
tBodyAcc,Y,mean(),LAYING,23,-0.0216553835833333
tBodyAcc,Y,mean(),LAYING,24,-0.0173555210111111
tBodyAcc,Y,mean(),LAYING,25,-0.0188943663671233
tBodyAcc,Y,mean(),LAYING,26,-0.0191895728026316
tBodyAcc,Y,mean(),LAYING,27,-0.0179867611216216
tBodyAcc,Y,mean(),LAYING,28,-0.0167537858225
tBodyAcc,Y,mean(),LAYING,29,-0.0171965484202899
tBodyAcc,Y,mean(),LAYING,30,-0.0194494098614286
tBodyAcc,Y,mean(),SITTING,1,-0.00130828765170213
tBodyAcc,Y,mean(),SITTING,2,-0.0156879937282609
tBodyAcc,Y,mean(),SITTING,3,-0.00350299841730769
tBodyAcc,Y,mean(),SITTING,4,-0.007163065158
tBodyAcc,Y,mean(),SITTING,5,-0.00990083527045455
tBodyAcc,Y,mean(),SITTING,6,-0.0145911615290909
tBodyAcc,Y,mean(),SITTING,7,-0.01461097580375
tBodyAcc,Y,mean(),SITTING,8,-0.00672550621304348
tBodyAcc,Y,mean(),SITTING,9,-0.02701677698
tBodyAcc,Y,mean(),SITTING,10,-0.015042681852037
tBodyAcc,Y,mean(),SITTING,11,-0.0149195616754717
tBodyAcc,Y,mean(),SITTING,12,-0.0157892988523529
tBodyAcc,Y,mean(),SITTING,13,-0.00587732936326531
tBodyAcc,Y,mean(),SITTING,14,-0.00870565463888889
tBodyAcc,Y,mean(),SITTING,15,-0.0117188472271186
tBodyAcc,Y,mean(),SITTING,16,-0.0102497939956522
tBodyAcc,Y,mean(),SITTING,17,-0.014156274084375
tBodyAcc,Y,mean(),SITTING,18,-0.0128691279736842
tBodyAcc,Y,mean(),SITTING,19,-0.016739260030137
tBodyAcc,Y,mean(),SITTING,20,-0.0147229305131818
tBodyAcc,Y,mean(),SITTING,21,-0.0144009705494118
tBodyAcc,Y,mean(),SITTING,22,-0.0123468446419355
tBodyAcc,Y,mean(),SITTING,23,-0.0133945015676471
tBodyAcc,Y,mean(),SITTING,24,-0.0131255097938235
tBodyAcc,Y,mean(),SITTING,25,-0.0147696808030769
tBodyAcc,Y,mean(),SITTING,26,-0.00713364541358974
tBodyAcc,Y,mean(),SITTING,27,-0.0155269799285714
tBodyAcc,Y,mean(),SITTING,28,-0.0185404441258333
tBodyAcc,Y,mean(),SITTING,29,-0.016630680375
tBodyAcc,Y,mean(),SITTING,30,-0.00804731295322581
tBodyAcc,Y,mean(),STANDING,1,-0.0161375901037736
tBodyAcc,Y,mean(),STANDING,2,-0.0184208270166667
tBodyAcc,Y,mean(),STANDING,3,-0.0143376555065574
tBodyAcc,Y,mean(),STANDING,4,-0.00948911098553571
tBodyAcc,Y,mean(),STANDING,5,-0.00700418554517857
tBodyAcc,Y,mean(),STANDING,6,-0.0181236327175439
tBodyAcc,Y,mean(),STANDING,7,-0.0145740341037736
tBodyAcc,Y,mean(),STANDING,8,-0.0148113067148148
tBodyAcc,Y,mean(),STANDING,9,-0.0200454954022222
tBodyAcc,Y,mean(),STANDING,10,-0.0155418603409091
tBodyAcc,Y,mean(),STANDING,11,-0.0171990886595745
tBodyAcc,Y,mean(),STANDING,12,-0.0169002543196721
tBodyAcc,Y,mean(),STANDING,13,-0.0167891993964912
tBodyAcc,Y,mean(),STANDING,14,-0.01520781344
